Majority.protein.IDs	Intensity_100fmolR1	Intensity_100fmolR2	Intensity_100fmolR3	Intensity_10fmolR1	Intensity_10fmolR2	Intensity_10fmolR3	organism	Protein.names	Gene.names	Peptides	Razor...unique.peptides	Unique.peptides	id
P17423	26.0683	24.9243	24.7941	24.8024	25.0493	25.0794	yeast	Homoserine kinase	THR1	4	4	4	330
P17505	29.1164	29.0579	28.9604	28.742	28.8939	28.8755	yeast	Malate dehydrogenase, mitochondrial	MDH1	16	16	16	331
P17536	26.4066	26.5104	26.4074	26.141	26.1014	25.9899	yeast	Tropomyosin-1	TPM1	7	7	7	332
P17555	25.0354	25.0559	25.0042	25.4993	24.8799	25.0337	yeast	Adenylyl cyclase-associated protein	SRV2	5	5	5	333
P17649	26.0512	26.0578	26.0148	25.5478	26.2209	25.9447	yeast	4-aminobutyrate aminotransferase	UGA1	10	10	10	334
P17695	24.1928	24.1481	24.1645	23.9724	23.6337	24.0623	yeast	Glutaredoxin-2, mitochondrial	GRX2	3	3	3	335
P17709	27.827	27.9816	27.6011	26.3256	27.4288	27.3062	yeast	Glucokinase-1	GLK1	13	13	12	336
P17891	23.6474	23.4609	23.4904	23.2826	23.1854	23.3988	yeast	Clathrin light chain	CLC1	1	1	1	337
P17967	26.8863	26.7961	26.797	26.7086	26.7521	26.7908	yeast	Protein disulfide-isomerase	PDI1	12	12	12	338
P18239	28.0692	27.9471	27.5496	27.316	27.5738	27.7699	yeast	ADP,ATP carrier protein 2	PET9	11	11	11	339
P18544	22.261	21.9306	22.3941	22.0986	21.975	21.7904	yeast	Acetylornithine aminotransferase, mitochondrial	ARG8	1	1	1	340
P18562	25.6336	25.848	25.6137	23.2788	24.4995	24.8988	yeast	Uracil phosphoribosyltransferase	FUR1	5	5	5	341
P19073	21.9252	21.6422	21.5799	21.5258	21.4296	21.5908	yeast	Cell division control protein 42	CDC42	1	1	1	342
P19097	29.5256	29.5522	29.4765	29.2185	29.4401	29.4516	yeast	"Fatty acid synthase subunit alpha;Acyl carrier;3-oxoacyl-[acyl-carrier-protein] reductase;3-oxoacyl-[acyl-carrier-protein] synthase"	FAS2	49	49	49	343
P19146	23.388	23.0328	23.5752	23.1985	23.2003	23.338	yeast	ADP-ribosylation factor 2	ARF2	7	1	1	344
P19262	25.4506	25.4234	25.3381	25.1333	25.2601	25.3078	yeast	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial	KGD2	5	5	5	345
P19358	26.3136	26.1916	26.1938	23.7599	26.2383	26.1559	yeast	S-adenosylmethionine synthase 2	SAM2	9	9	6	346
P19414	29.2809	29.2602	29.2082	28.616	28.992	29.0425	yeast	Aconitate hydratase, mitochondrial	ACO1	25	25	24	347
P19454	22.7448	22.5581	22.7283	21.5722	22.616	22.5775	yeast	Casein kinase II subunit alpha	CKA2	2	2	2	348
P19882	29.8457	30.001	29.9276	29.6567	29.7798	29.7592	yeast	Heat shock protein 60, mitochondrial	HSP60	25	25	25	349
P20051	24.8876	24.9015	24.928	24.9163	24.5339	24.4838	yeast	Dihydroorotase	URA4	5	5	5	351
P20081	28.232	27.7447	27.7663	27.736	28.0564	28.0539	yeast	FK506-binding protein 1	FPR1	5	5	5	352
P20107	22.1571	22.2079	22.1795	NA	22.3394	22.4268	yeast	Zinc/cadmium resistance protein	ZRC1	1	1	1	353
P20459	25.0846	25.2941	25.0069	25.0307	25.1809	25.0165	yeast	Eukaryotic translation initiation factor 2 subunit alpha	SUI2	4	4	4	354
P20606	26.1495	26.0929	26.1415	25.7321	25.9631	25.9366	yeast	Small COPII coat GTPase SAR1	SAR1	5	5	5	355
P20967	26.9665	26.9825	26.6364	26.0775	26.8726	26.8157	yeast	2-oxoglutarate dehydrogenase, mitochondrial	KGD1	11	11	11	356
P21242	23.2087	23.2738	23.1689	23.1649	23.2141	23.2544	yeast	Proteasome component C1	PRE10	1	1	1	357
P21243	24.8753	25.0831	24.4852	23.6776	24.7767	24.7524	yeast	Proteasome component C7-alpha	SCL1	6	6	6	358
P21304	20.8692	21.3186	21.4632	20.6152	20.4642	20.763	yeast	Periodic tryptophan protein 1	PWP1	1	1	1	360
P21306	23.734	23.65	23.7486	23.3539	23.3625	23.357	yeast	ATP synthase subunit epsilon, mitochondrial	ATP15	1	1	1	361
P21576	25.1443	25.1463	24.9608	24.0024	24.8766	24.6088	yeast	Vacuolar protein sorting-associated protein 1	VPS1	6	6	6	362
P21734	22.2334	22.487	21.9129	22.0476	22.5541	22.3611	yeast	Ubiquitin-conjugating enzyme E2 1	UBC1	1	1	1	363
P21801	23.2659	23.0718	23.1599	22.0365	22.6615	23.6208	yeast	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	SDH2	2	2	2	364
P21954	27.6479	27.4576	27.4876	26.962	27.4124	27.4118	yeast	Isocitrate dehydrogenase [NADP], mitochondrial	IDP1	17	17	14	365
P21965	24.0283	24.5665	24.2508	23.4691	23.3802	24.3028	yeast	Protein kinase MCK1	MCK1	4	4	4	366
P22133	26.8638	26.9239	26.646	26.0348	26.5107	26.491	yeast	Malate dehydrogenase, cytoplasmic	MDH2	8	8	8	367
P22137	27.1979	27.244	27.2233	26.4466	27.1243	26.9674	yeast	Clathrin heavy chain	CHC1	19	19	19	368
P22141	23.3087	23.4937	23.3797	23.1946	23.1005	23.208	yeast	Proteasome component C11	PRE1	2	2	2	369
P22146	24.3813	24.3245	24.5729	23.4796	24.4125	24.2932	yeast	1,3-beta-glucanosyltransferase GAS1	GAS1	2	2	2	370
P22147	19.0304	19.1394	19.6212	NA	NA	NA	yeast	5-3 exoribonuclease 1	KEM1	1	1	1	371
P22202	25.1568	24.9747	25.1478	23.5229	24.6519	24.6885	yeast	Heat shock protein SSA4	SSA4	18	8	6	372
P22203	26.1685	26.2597	26.1329	26.0347	26.0903	25.9689	yeast	V-type proton ATPase subunit E	VMA4	5	5	5	373
P22217	26.806	26.6776	26.9654	27.0097	26.7398	26.9703	yeast	Thioredoxin-1	TRX1	6	5	5	374
P22336	21.309	21.0783	21.33	NA	21.506	21.5446	yeast	Replication factor A protein 1	RFA1	1	1	1	375
P22353	23.1965	23.1215	22.9581	22.8048	22.8457	22.871	yeast	54S ribosomal protein L8, mitochondrial	MRPL8	1	1	1	376
P22515	27.5307	27.3772	27.464	26.8234	27.3459	27.2641	yeast	Ubiquitin-activating enzyme E1 1	UBA1	15	15	15	377
P22768	26.2015	26.2866	26.2137	25.8468	26.0102	25.9515	yeast	Argininosuccinate synthase	ARG1	10	10	10	378
P22803	28.1578	28.1208	28.0758	27.9842	27.955	27.9773	yeast	Thioredoxin-2	TRX2	6	6	5	379
P22943	28.6726	28.7638	28.8131	28.2202	28.2799	28.221	yeast	12 kDa heat shock protein	HSP12	7	7	7	380
P23180	24.6549	24.5383	24.5947	24.3035	24.2587	24.2633	yeast	Probable oxidoreductase AIM17	AIM17	2	2	2	381
P23254	29.7249	29.7715	29.7543	29.2485	29.5241	29.6046	yeast	Transketolase 1	TKL1	22	22	22	382
P23301	27.7617	27.6798	27.677	27.0478	27.5426	27.494	yeast	Eukaryotic translation initiation factor 5A-1	HYP2	6	6	6	383
P23542	26.7023	26.6951	26.759	26.1236	26.2662	26.4859	yeast	Aspartate aminotransferase, cytoplasmic	AAT2	9	9	9	384
P23615	21.5951	22.368	22.4037	NA	21.57	21.0788	yeast	Transcription elongation factor SPT6	SPT6	2	2	2	385
P23638	23.3737	23.1649	23.1502	22.3078	22.9487	22.9983	yeast	Proteasome component Y13	PRE9	2	2	2	386
P23639	24.7674	24.628	23.6733	23.8251	24.6905	24.6012	yeast	Proteasome component Y7	PRE8	5	5	5	387
P23641	26.1492	26.1343	26.1031	25.2058	25.7546	25.5855	yeast	Mitochondrial phosphate carrier protein	MIR1	8	8	8	388
P23644	23.3253	23.5368	23.3847	22.5044	23.2338	23.1831	yeast	Mitochondrial import receptor subunit TOM40	TOM40	1	1	1	389
P23724	23.2818	21.978	23.1776	22.1641	22.5731	22.8393	yeast	Proteasome component C5	PRE7	2	2	2	390
P23776	22.4857	21.6501	21.6769	21.6761	21.7076	21.5204	yeast	Glucan 1,3-beta-glucosidase I/II	EXG1	2	2	2	391
"P24000;P04449"	27.421	27.4309	27.4301	26.7929	26.8495	26.8761	yeast	"60S ribosomal protein L24-B;60S ribosomal protein L24-A"	"RPL24B;RPL24A"	5	5	5	392
P24280	25.2274	25.8881	25.5409	25.1542	25.097	25.2737	yeast	SEC14 cytosolic factor	SEC14	5	5	5	393
P25087	25.2347	25.1387	25.1814	25.0975	25.3066	25.1488	yeast	Sterol 24-C-methyltransferase	ERG6	8	8	8	394
P25293	24.562	24.4346	24.4751	24.8364	24.0741	24.235	yeast	Nucleosome assembly protein	NAP1	5	5	5	395
P25294	26.1067	26.0196	26.043	25.7384	25.9852	26.0487	yeast	Protein SIS1	SIS1	6	6	6	396
P25343	22.4378	22.1774	22.2196	23.1041	22.2305	22.3268	yeast	Reduced viability upon starvation protein 161	RVS161	3	3	3	398
P25349	22.524	22.563	24.0328	24.1415	22.8877	23.772	yeast	Flavoprotein-like protein YCP4	YCP4	3	3	3	399
P25356	21.7465	21.4802	22.082	21.9485	21.716	21.8241	yeast	Beige protein homolog 1	BPH1	1	1	1	400
P25373	26.1814	26.1019	26.1504	25.7437	25.9574	25.9468	yeast	Glutaredoxin-1	GRX1	5	5	5	401
P25386	21.6827	21.8799	22.0977	21.9015	NA	21.3991	yeast	Intracellular protein transport protein USO1	USO1	1	1	1	402
P25443	28.3664	28.4423	28.3643	27.8311	28.1552	28.0809	yeast	40S ribosomal protein S2	RPS2	7	7	7	403
P25451	23.8896	24.1167	23.8313	23.9084	23.9098	23.9201	yeast	Proteasome component PUP3	PUP3	1	1	1	404
P25491	25.5357	26.0054	25.7282	24.5763	25.6499	25.4762	yeast	Mitochondrial protein import protein MAS5	YDJ1	7	7	7	405
P25605	23.7224	23.8936	23.6806	23.3503	23.6452	23.6018	yeast	Acetolactate synthase small subunit, mitochondrial	ILV6	2	2	2	407
P25619	22.9396	23.1441	23.0608	22.6912	22.9002	22.9013	yeast	30 kDa heat shock protein	HSP30	1	1	1	408
P25623	22.1069	21.9549	23.2857	NA	21.9385	23.2551	yeast	Suppressor of yeast profilin deletion	SYP1	2	2	2	409
P25631	21.5228	21.0433	21.3623	NA	21.7188	21.5609	yeast	Ankyrin repeat-containing protein YCR051W		1	1	1	410
P25694	27.7237	27.6021	27.5565	27.1411	27.5315	27.5633	yeast	Cell division control protein 48	CDC48	16	16	16	411
P25719	25.4606	25.7194	25.7152	24.1945	24.8941	25.0339	yeast	Peptidyl-prolyl cis-trans isomerase C, mitochondrial	CPR3	4	4	4	412
P26309	24.2601	24.1975	24.3438	24.0683	23.9727	24.0089	yeast	APC/C activator protein CDC20	CDC20	1	1	1	413
P26321	28.8107	28.7456	28.7106	28.4465	28.6386	28.6118	yeast	60S ribosomal protein L5	RPL5	9	9	9	414
"P26570;P33329"	25.2379	25.2535	25.2383	24.7343	24.789	24.8011	yeast	"Serine/threonine-protein phosphatase PP-Z1;Serine/threonine-protein phosphatase PP-Z2"	"PPZ1;PPZ2"	4	2	2	415
P26637	27.7641	27.8026	27.8056	27.0241	27.509	27.5394	yeast	Leucine--tRNA ligase, cytoplasmic	CDC60	20	20	19	416
P26755	22.4051	22.1289	22.2252	22.338	23.2406	23.0541	yeast	Replication factor A protein 3	RFA3	1	1	1	417
P26783	28.2336	28.1646	28.1797	27.8261	27.9903	28.1816	yeast	40S ribosomal protein S5	RPS5	8	8	8	418
P26784	25.7923	25.3105	25.8618	24.8281	25.6634	25.3554	yeast	60S ribosomal protein L16-A	RPL16A	8	5	5	419
P26785	27.2835	27.207	27.2845	26.5985	26.5228	26.6664	yeast	60S ribosomal protein L16-B	RPL16B	10	10	7	420
P26786	28.3619	28.326	28.3276	28.0653	28.2115	28.1688	yeast	40S ribosomal protein S7-A	RPS7A	8	8	5	421
P27476	23.1251	21.3205	23.2967	22.2192	21.8159	20.3345	yeast	Nuclear localization sequence-binding protein	NSR1	1	1	1	422
P27614	25.8163	25.7743	25.4599	25.705	25.6136	25.5756	yeast	Carboxypeptidase S	CPS1	6	6	6	423
P27616	23.2183	23.7575	23.5151	23.7109	23.5419	22.9794	yeast	Phosphoribosylaminoimidazole-succinocarboxamide synthase	ADE1	3	3	3	424
P27692	20.9021	21.4494	22.0253	NA	20.2061	20.2754	yeast	Transcription elongation factor SPT5	SPT5	2	2	2	425
P28007	23.0693	23.0422	22.8246	NA	22.7512	22.8355	yeast	H/ACA ribonucleoprotein complex subunit 1	GAR1	1	1	1	427
P28240	27.9625	27.8163	27.884	27.3442	27.489	27.5371	yeast	Isocitrate lyase	ICL1	17	17	17	428
P28241	27.4447	27.2896	27.5463	27.2988	27.3152	27.1337	yeast	Isocitrate dehydrogenase [NAD] subunit 2, mitochondrial	IDH2	8	8	8	429
P28272	27.7728	28.0284	27.9587	27.1859	27.8479	27.814	yeast	Dihydroorotate dehydrogenase (fumarate)	URA1	10	10	10	430
P28274	22.3627	22.4509	21.7708	21.8781	21.692	22.3535	yeast	CTP synthase 1	URA7	1	1	1	431
P28319	22.1269	22.3485	22.2803	21.7971	21.68	21.5061	yeast	Cell wall protein CWP1	CWP1	1	1	1	432
P28495	23.0575	23.0741	22.8521	22.891	23.0238	22.7589	yeast	F-actin-capping protein subunit alpha	CAP1	2	2	2	433
P28707	26.425	26.4089	26.3407	25.8005	26.2208	26.1623	yeast	Co-chaperone protein SBA1	SBA1	2	2	2	434
P28777	24.9911	24.9376	24.9387	22.7351	24.6905	24.601	yeast	Chorismate synthase	ARO2	5	5	5	435
P28834	28.2378	28.1803	28.0284	28.0037	28.0222	28.071	yeast	Isocitrate dehydrogenase [NAD] subunit 1, mitochondrial	IDH1	12	12	12	436
P29311	26.7621	26.7811	26.7887	26.3726	26.6831	26.6312	yeast	Protein BMH1	BMH1	15	4	4	437
P29453	25.0383	25.1858	24.879	24.572	24.2413	24.3386	yeast	60S ribosomal protein L8-B	RPL8B	18	18	3	438
P29509	28.4163	28.3391	28.2392	28.1553	28.1664	28.0807	yeast	Thioredoxin reductase 1	TRR1	12	12	12	439
P29547	26.2561	26.3861	26.1703	26.8025	26.846	26.8201	yeast	Elongation factor 1-gamma 1	CAM1	8	6	6	440
P29704	21.5814	22.5532	21.5743	NA	19.8492	21.4148	yeast	Squalene synthase	ERG9	2	2	2	441
P29952	25.88	25.8249	26.0924	25.6419	25.6265	25.4831	yeast	Mannose-6-phosphate isomerase	PMI40	6	6	6	442
P30624	26.3416	26.0521	26.4029	25.129	26.0941	25.8674	yeast	Long-chain-fatty-acid--CoA ligase 1	FAA1	9	9	9	443
P30656	23.3947	23.4444	23.0161	22.2995	23.4907	23.2928	yeast	Proteasome component PRE2	PRE2	2	2	2	444
P30657	22.4964	22.412	22.4426	NA	22.0248	22.1772	yeast	Proteasome component PRE4	PRE4	2	2	2	445
P30822	22.8438	22.7568	22.4968	23.318	22.0183	22.0842	yeast	Exportin-1	CRM1	4	4	4	446
P31116	27.6862	27.7244	27.62	27.061	27.5547	27.5281	yeast	Homoserine dehydrogenase	HOM6	13	13	13	447
P31373	28.6328	28.5635	28.6218	28.2927	28.3917	28.3899	yeast	Cystathionine gamma-lyase	CYS3	13	13	13	448
P31383	24.6246	24.6398	24.219	22.9977	23.937	23.9855	yeast	Protein phosphatase PP2A regulatory subunit A	TPD3	4	4	4	449
P31412	25.4966	25.003	24.8219	23.5447	25.3304	25.1059	yeast	V-type proton ATPase subunit C	VMA5	7	7	7	450
P31539	29.1423	28.9808	28.9841	28.5642	28.8346	28.8902	yeast	Heat shock protein 104	HSP104	32	32	32	451
P31688	23.8186	23.9662	23.7286	22.8072	23.5785	23.5908	yeast	Trehalose-phosphatase	TPS2	5	5	5	452
P31787	27.2924	27.3399	27.285	27.4889	27.265	27.2533	yeast	Acyl-CoA-binding protein	ACB1	4	4	4	453
P32074	26.5389	26.4743	25.2551	24.5946	24.6846	24.6275	yeast	Coatomer subunit gamma	SEC21	4	4	4	454
P32179	19.3206	18.6243	19.1819	NA	NA	17.7805	yeast	3(2),5-bisphosphate nucleotidase	MET22	1	1	1	455
P32191	26.6023	26.4424	26.396	24.2439	25.8145	25.9118	yeast	Glycerol-3-phosphate dehydrogenase, mitochondrial	GUT2	6	6	6	456
P32288	27.7848	27.7637	27.7505	26.9247	27.4405	27.5973	yeast	Glutamine synthetase	GLN1	12	12	12	457
P32316	27.4562	27.391	27.7675	26.923	27.2117	27.1428	yeast	Acetyl-CoA hydrolase	ACH1	12	12	12	458
P32324	31.6002	31.581	31.5139	31.3482	31.3726	31.3719	yeast	Elongation factor 2	EFT1	48	48	48	459
"P32327;P11154"	26.3459	26.217	25.9584	25.9346	25.7846	25.7395	yeast	"Pyruvate carboxylase 2;Pyruvate carboxylase 1"	"PYC2;PYC1"	14	14	14	460
P32337	22.5996	22.5618	22.4401	NA	22.336	22.5914	yeast	Importin subunit beta-3	PSE1	2	2	2	461
P32340	23.7996	23.8886	23.8912	23.976	23.9732	23.7864	yeast	Rotenone-insensitive NADH-ubiquinone oxidoreductase, mitochondrial	NDI1	2	2	2	462
P32366	23.0605	24.3202	23.9914	NA	23.8458	23.7439	yeast	V-type proton ATPase subunit d	VMA6	2	2	2	463
P32377	28.0064	27.9041	27.7998	27.575	27.5706	27.4973	yeast	Diphosphomevalonate decarboxylase	MVD1	8	8	8	464
P32379	24.3204	24.356	24.2643	23.8876	23.9199	24.0055	yeast	Proteasome component PUP2	PUP2	2	2	2	465
P32381	23.5109	24.2502	24.0882	24.1181	24.3699	23.6959	yeast	Actin-related protein 2	ARP2	4	4	4	466
P32445	23.2781	23.4082	23.3225	20.4374	20.0746	22.8448	yeast	Single-stranded DNA-binding protein RIM1, mitochondrial	RIM1	2	2	2	467
P32449	26.7396	27.0039	26.6823	26.3651	26.4992	26.3979	yeast	Phospho-2-dehydro-3-deoxyheptonate aldolase, tyrosine-inhibited	ARO4	8	8	8	469
P32453	21.9557	22.0203	22.11	NA	21.8775	22.2191	yeast	Protein ATP11, mitochondrial	ATP11	1	1	1	470
P32454	26.8609	26.7549	26.7562	26.3111	26.6711	26.8454	yeast	Aminopeptidase 2, mitochondrial	APE2	18	18	16	471
P32463	23.8237	23.7461	23.6908	23.0051	23.4451	23.5381	yeast	Acyl carrier protein, mitochondrial	ACP1	2	2	2	472
P32468	21.3176	20.9774	21.2154	NA	20.9429	21.2335	yeast	Cell division control protein 12	CDC12	1	1	1	473
P32469	24.0821	24.1249	24.1032	23.919	25.0153	23.7992	yeast	Diphthine synthase	DPH5	2	2	2	474
P32471	28.7377	28.7285	28.7191	28.2355	28.5625	28.6261	yeast	Elongation factor 1-beta	EFB1	7	7	7	475
P32473	24.8695	25.4097	24.832	24.7029	25.1868	25.3058	yeast	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial	PDB1	4	4	4	476
P32476	24.0962	23.3914	24.3036	23.2	23.1973	23.2299	yeast	Squalene monooxygenase	ERG1	3	3	3	477
P32481	26.3516	26.2351	26.2034	25.7395	26.0364	26.0805	yeast	Eukaryotic translation initiation factor 2 subunit gamma	GCD11	8	8	8	478
P32496	22.5773	22.6591	22.9629	22.7404	23.6618	22.8574	yeast	26S proteasome regulatory subunit RPN12	RPN12	2	2	2	479
P32527	26.8623	26.8348	26.7218	26.5492	26.8213	26.823	yeast	Zuotin	ZUO1	7	7	7	480
P32528	23.5197	22.274	21.5316	24.4214	24.3028	22.0625	yeast	"Urea amidolyase;Urea carboxylase;Allophanate hydrolase"	DUR1,2	5	5	5	481
P32558	21.3781	21.5188	21.657	20.5201	22.2244	20.8971	yeast	FACT complex subunit SPT16	SPT16	4	3	3	482
P32563	24.2103	23.321	24.103	22.6735	24.1521	24.4019	yeast	V-type proton ATPase subunit a, vacuolar isoform	VPH1	4	4	4	483
P32565	25.3603	25.1407	24.4429	24.2069	24.9453	24.7794	yeast	26S proteasome regulatory subunit RPN2	RPN2	8	8	8	484
P32582	28.4277	28.4073	28.3647	27.8316	28.1793	28.1654	yeast	Cystathionine beta-synthase	CYS4	20	20	20	485
P32588	25.1342	25.0436	23.8328	23.9303	24.2429	24.2544	yeast	Nuclear and cytoplasmic polyadenylated RNA-binding protein PUB1	PUB1	3	3	3	486
P32589	28.934	28.8592	28.8755	28.2636	28.6881	28.7141	yeast	Heat shock protein homolog SSE1	SSE1	29	29	24	487
P32590	23.2463	23.7663	22.9517	23.3111	23.1474	23.3777	yeast	Heat shock protein homolog SSE2	SSE2	8	3	3	488
P32598	24.9565	24.9444	24.8229	24.8923	24.8974	24.7965	yeast	Serine/threonine-protein phosphatase PP1-2	GLC7	5	5	3	489
P32599	26.8833	26.8086	26.8145	26.5052	26.5862	26.5592	yeast	Fimbrin	SAC6	12	12	12	490
P32602	22.8354	23.106	22.8066	23.2179	22.157	22.1863	yeast	Alpha-soluble NSF attachment protein	SEC17	3	3	3	491
P32608	23.2874	22.6683	23.1028	22.2026	22.8539	22.9482	yeast	Retrograde regulation protein 2	RTG2	2	2	2	492
P32614	25.0195	24.8703	24.9499	24.758	24.7854	24.6967	yeast	Fumarate reductase		9	9	9	493
"P32626;A6ZQR2;B3LRX9;B5VH97;C7GKE1"	22.7749	22.9128	22.9927	21.3423	22.6001	22.5766	yeast	Enolase-phosphatase E1	UTR4	2	2	2	494
"Q03835;P32642"	21.5509	21.6701	21.9429	21.5585	21.588	21.6602	yeast	"Monothiol glutaredoxin-3;Monothiol glutaredoxin-4"	"GRX3;GRX4"	1	1	1	495
P32645	23.6632	23.7341	23.7502	22.5805	22.7793	22.7264	yeast	Meiosis-specific protein ISC10	ISC10	1	1	1	496
P32771	22.4977	22.3122	21.8923	22.2021	23.0822	23.4983	yeast	S-(hydroxymethyl)glutathione dehydrogenase	SFA1	4	4	4	497
P32775	25.2229	25.1522	25.1497	22.8554	25.1215	25.1105	yeast	1,4-alpha-glucan-branching enzyme	GLC3	5	5	5	498
"P32836;P32835"	27.7617	27.7657	27.4432	26.8788	27.2311	27.4855	yeast	"GTP-binding nuclear protein GSP2/CNR2;GTP-binding nuclear protein GSP1/CNR1"	"GSP2;GSP1"	7	7	7	499
P32860	20.7446	21.1702	21.1547	NA	20.0781	20.012	yeast	NifU-like protein, mitochondrial	NFU1	1	1	1	500
P32861	25.9734	25.8473	25.5665	25.1124	25.336	25.6849	yeast	UTP--glucose-1-phosphate uridylyltransferase	UGP1	7	7	7	501
P32867	21.7073	21.9217	22.1372	NA	20.8333	20.8939	yeast	Protein SSO1	SSO1	1	1	1	502
P32891	22.2185	21.946	22.0753	NA	21.8788	22.5232	yeast	D-lactate dehydrogenase [cytochrome] 1, mitochondrial	DLD1	2	2	2	503
P32897	21.536	21.4388	21.6234	NA	21.1023	21.1441	yeast	Mitochondrial import inner membrane translocase subunit TIM23	TIM23	1	1	1	505
P32911	26.0269	25.9023	26.0486	25.4919	25.935	25.8262	yeast	Eukaryotic translation initiation factor eIF-1	SUI1	4	4	4	507
P32915	22.2054	22.2421	22.3652	21.9704	22.1362	NA	yeast	Protein transport protein SEC61	SEC61	1	1	1	508
P33201	22.9208	23.0006	22.1546	22.0665	22.9672	23.1788	yeast	mRNA turnover protein 4	MRT4	2	2	2	510
P33204	24.2312	24.2054	24.179	24.2792	24.1395	24.2052	yeast	Actin-related protein 2/3 complex subunit 4	ARC19	2	2	2	511
P33297	24.2204	23.8746	23.6935	24.144	24.2689	24.1567	yeast	26S protease regulatory subunit 6A	RPT5	4	4	4	512
P33299	23.1417	22.9954	22.7908	NA	22.6314	21.7484	yeast	26S protease regulatory subunit 7 homolog	RPT1	2	2	2	514
P33303	22.0653	22.2644	21.3141	21.9947	21.7641	21.8752	yeast	Succinate/fumarate mitochondrial transporter	SFC1	1	1	1	515
P33322	23.9788	24.6776	24.6285	23.9308	23.5565	24.3701	yeast	H/ACA ribonucleoprotein complex subunit 4	CBF5	3	3	3	516
P33327	25.5907	25.8031	25.9386	25.2531	25.6907	25.5081	yeast	NAD-specific glutamate dehydrogenase	GDH2	9	9	9	517
P33331	27.0765	27.0183	26.9692	26.8033	26.8674	26.8545	yeast	Nuclear transport factor 2	NTF2	4	4	4	518
P33399	19.9054	19.6142	19.6979	19.3279	19.116	21.2647	yeast	La protein homolog	LHP1	2	2	2	519
P33416	26.9699	26.4693	26.5442	25.8613	26.1512	26.1341	yeast	Heat shock protein 78, mitochondrial	HSP78	11	11	11	520
P33734	23.203	23.0205	22.552	NA	22.4125	22.4109	yeast	"Imidazole glycerol phosphate synthase hisHF;Glutamine amidotransferase;Cyclase"	HIS7	3	3	3	522
P34167	25.7781	25.8033	25.4357	25.8027	25.2372	25.3747	yeast	Eukaryotic translation initiation factor 4B	TIF3	10	10	10	524
P34216	25.8275	25.7678	25.8894	25.2034	25.5698	25.281	yeast	EH domain-containing and endocytosis protein 1	EDE1	9	9	9	525
P34221	22.386	22.0119	22.0887	NA	22.3901	22.0553	yeast	Protein phosphatase 2C homolog 3	PTC3	1	1	1	526
P34223	22.5001	22.654	22.4408	NA	22.6763	22.0219	yeast	UBX domain-containing protein 1	SHP1	3	3	3	527
P34227	27.0093	26.9041	26.8043	26.5154	26.7128	26.6649	yeast	Mitochondrial peroxiredoxin PRX1	PRX1	6	6	6	528
P34730	25.9096	25.8989	26.0901	25.4674	25.3764	25.3748	yeast	Protein BMH2	BMH2	15	15	4	529
P34760	30.129	30.036	30.0479	29.7681	29.9035	29.8303	yeast	Peroxiredoxin TSA1	TSA1	14	14	14	530
P35179	24.0266	24.0748	23.9016	23.8764	23.8976	23.7497	yeast	Protein transport protein SSS1	SSS1	1	1	1	531
P35189	21.4468	21.5661	21.3652	21.4859	21.9988	21.256	yeast	Transcription initiation factor TFIID subunit 14	TAF14	1	1	1	532
P35691	29.0816	29.0204	29.0853	28.7312	28.8554	28.8365	yeast	Translationally-controlled tumor protein homolog	TMA19	8	8	8	534
P35719	25.4379	25.3444	25.019	24.7497	25.3893	25.7054	yeast	Uncharacterized protein MRP8	MRP8	6	6	6	535
P35723	23.3307	23.1783	23.3135	NA	23.0254	22.9853	yeast	Endoplasmic reticulum transmembrane protein 1	YET1	2	2	2	536
P35844	23.0942	23.1105	23.1728	24.3029	22.5438	22.3726	yeast	Protein KES1	KES1	3	3	3	537
"P35997;P38711"	27.9827	27.9416	27.9222	27.3587	27.9283	27.8044	yeast	"40S ribosomal protein S27-A;40S ribosomal protein S27-B"	"RPS27A;RPS27B"	4	4	4	538
P36008	28.6312	28.5814	28.5612	27.9697	28.1691	28.4231	yeast	Elongation factor 1-gamma 2	TEF4	16	16	14	539
P36010	27.4038	27.3148	27.2228	27.0362	27.0218	27.0372	yeast	Nucleoside diphosphate kinase	YNK1	8	8	8	540
P36013	21.7668	21.7774	21.3604	21.7461	21.7583	21.588	yeast	NAD-dependent malic enzyme, mitochondrial	MAE1	1	1	1	541
P36015	24.0547	22.9133	23.0506	22.96	23.5395	22.9855	yeast	Synaptobrevin homolog YKT6	YKT6	3	3	3	542
P36017	23.3221	23.05	23.1803	22.6909	23.6318	23.0551	yeast	Vacuolar protein sorting-associated protein 21	VPS21	3	3	2	543
P36018	22.1391	22.1076	21.5187	NA	22.3891	22.3229	yeast	GTP-binding protein YPT52	YPT52	2	1	1	544
P36046	22.3463	22.1495	22.4059	22.3195	22.2785	22.4109	yeast	Mitochondrial intermembrane space import and assembly protein 40	MIA40	1	1	1	545
P36047	24.7748	24.5585	25.0947	24.2698	24.613	24.6012	yeast	Protein phosphatase 1 regulatory subunit SDS22	SDS22	4	4	4	546
P36136	23.9868	24.1024	23.7227	23.7252	24.5806	24.5119	yeast	Sedoheptulose 1,7-bisphosphatase	SHB17	2	2	2	547
